2011-05-26 01:20:18 Notice: Notice (8): Undefined index: email in [/Applications/MAMP/htdocs/gholias/views/themed/adminus/users/index.ctp, line 36]
2011-05-26 01:46:27 Notice: Notice (8): Undefined variable: shows in [/Applications/MAMP/htdocs/gholias/views/themed/adminus/punchlines/index.ctp, line 32]
2011-06-06 15:03:26 Notice: Notice (8): Undefined variable: user in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/usuarios/admin_index.ctp, line 34]
2011-06-06 16:20:02 Notice: Notice (8): Undefined variable: slides in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/slides/admin_index.ctp, line 32]
2011-06-06 16:24:00 Notice: Notice (8): Undefined index: nome in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/slides/admin_index.ctp, line 35]
2011-06-06 17:26:37 Notice: Notice (8): Undefined variable: slides in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_index.ctp, line 34]
2011-06-06 23:07:39 Notice: Notice (8): Undefined variable: slide in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_index.ctp, line 37]
2011-06-06 23:08:35 Notice: Notice (8): Undefined variable: slide in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_index.ctp, line 37]
2011-06-06 23:08:35 Notice: Notice (8): Undefined index: area in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_index.ctp, line 39]
2011-06-06 23:09:04 Notice: Notice (8): Undefined index: area in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_index.ctp, line 39]
2011-06-06 23:09:50 Notice: Notice (8): Undefined variable: areas in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_editar.ctp, line 36]
2011-06-06 23:09:50 Notice: Notice (8): Undefined variable: areas in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_editar.ctp, line 36]
2011-06-06 23:09:50 Notice: Notice (8): Undefined variable: areas in [/Applications/MAMP/htdocs/conveniencia/views/themed/adminus/parceiros/admin_editar.ctp, line 36]
